name,website,stage,focus_areas,location,check_size
Apple Tree Partners,https://www.appletreepartners.com,Seed Series A Series B,"Life Sciences Biotech",New York NY,$5M-$30M
AppWorks,https://appworks.tw,Seed Series A,"Southeast Asia Taiwan Technology",Taipei Taiwan,$500K-$2M
Arc Ventures,https://www.arcvc.com,Pre-Seed Seed,"Deep Tech Science",San Francisco CA,$500K-$2M
Arctern Ventures,https://www.arcternventures.com,Seed Series A,"Climate Cleantech",Vancouver Canada,$1M-$5M
Arctos Capital,https://www.arctos.vc,Seed Series A,"Sports Media Entertainment",Dallas TX,$500K-$3M
Ardine Williams Ventures,https://www.aw-vc.com,Pre-Seed,"Diversity Enterprise",Seattle WA,$100K-$500K
Armory Square Ventures,https://www.armorysquare.com,Seed Series A,"Enterprise Technology",Syracuse NY,$250K-$2M
Arsenal Capital Partners,https://www.arsenalcapital.com,Growth,"Healthcare Specialty Industrials",New York NY,
Artha Venture Fund,https://www.arthavf.com,Seed Series A,"India Enterprise SaaS",Mumbai India,$500K-$2M
Artesian Venture Partners,https://www.artesianvc.com,Seed Series A,"Australia Technology",Sydney Australia,$500K-$3M
Artis Ventures,https://www.artisventures.com,Seed Series A,"Healthcare Technology",San Francisco CA,$500K-$3M
Arweave Ventures,https://www.arweave.org,Seed,"Web3 Decentralized Storage",London UK,$500K-$3M
Asymmetric Capital Partners,https://www.asymmetric.capital,Seed Series A,"Fintech Crypto",New York NY,$1M-$5M
Ateneo Innovation Capital,https://aiconline.ph,Seed,"Philippines Technology",Manila Philippines,$100K-$500K
Athena Capital Advisors,https://www.athenacapital.com,Growth,"Healthcare Life Sciences",Lincoln MA,
Athenian Capital,https://www.athenian.vc,Pre-Seed Seed,"Software B2B",Atlanta GA,$250K-$1M
Atmos Ventures,https://www.atmos.vc,Seed Series A,"Climate Agriculture",Berlin Germany,$500K-$3M
Atreides Management,https://www.atreidesmanagement.com,Growth Late,"Technology",Boston MA,
Attain Capital,https://www.attaincap.com,Seed Series A,"Healthcare Digital Health",New York NY,$1M-$5M
Attitude Ventures,https://attitudevc.com,Pre-Seed Seed,"Future of Work HR Tech",Montreal Canada,$250K-$1M
Audacious Ventures,https://www.audacious.vc,Seed,"Deep Tech Science",San Francisco CA,$500K-$2M
Augmentum Fintech,https://www.augmentum.vc,Seed Series A,"Fintech",London UK,$2M-$10M
Austerfield Capital,https://www.austerfieldcapital.com,Seed Series A,"Agriculture Food Technology",Minneapolis MN,$500K-$2M
Avanta Ventures,https://www.avanta.vc,Seed Series A,"Insurance Technology",San Francisco CA,$500K-$3M
Aventus Capital,https://www.aventuscapital.com,Seed Series A,"Africa Fintech",Lagos Nigeria,$500K-$2M
Avesta Fund,https://www.avesta.fund,Pre-Seed Seed,"Nordic SaaS",Helsinki Finland,$250K-$1.5M
Avimesa Ventures,https://www.avimesa.com,Seed,"IoT Industrial",Redwood City CA,$250K-$1M
Avolution Capital,https://www.avolutioncapital.com,Seed Series A,"Supply Chain Logistics",Chicago IL,$500K-$3M
Avy Ventures,https://www.avyventures.com,Seed,"Mobility Transportation",Munich Germany,$500K-$2M
Aware Ventures,https://www.awareventures.com,Seed,"Mental Health Wellbeing",London UK,$250K-$1M
Axon Ventures,https://www.axonventures.vc,Seed Series A,"Neuroscience Digital Health",San Francisco CA,$500K-$3M
Azimuth Capital,https://www.azimuthcapital.com,Series A Series B,"Healthcare Life Sciences",San Francisco CA,$3M-$20M
B Capital Group,https://www.bcapgroup.com,Series A Series B Growth,"Enterprise Technology",Los Angeles CA,$10M-$50M
B37 Ventures,https://www.b37.vc,Pre-Seed Seed,"Technology B2B",Berlin Germany,$250K-$1.5M
Backbone Angels,https://backboneangels.com,Pre-Seed,"Diversity Founders",San Francisco CA,$25K-$150K
Bain Capital Ventures,https://www.baincapitalventures.com,Seed Series A Series B Growth,"Enterprise SaaS Fintech",Boston MA,$3M-$30M
Baird Capital,https://www.bairdcapital.com,Series A Series B,"Healthcare Technology",Chicago IL,$5M-$20M
Balance Ventures,https://balanceventures.io,Seed,"Israel Technology",Tel Aviv Israel,$500K-$3M
Ballistic Ventures,https://www.ballisticventures.com,Seed Series A,"Cybersecurity",San Francisco CA,$1M-$5M
Balsam Street Ventures,https://www.balsamstreet.com,Seed,"Midwest Technology",Indianapolis IN,$250K-$1M
Bam Elevate,https://www.bamelevate.com,Pre-Seed Seed,"Diversity Technology",New York NY,$250K-$1M
Bam Ventures,https://www.bamventures.com,Seed Series A,"Consumer Media",Los Angeles CA,$500K-$3M
Base Case Capital,https://basecasecapital.com,Seed,"Fintech Financial Services",New York NY,$500K-$2M
Base10 Partners,https://base10.vc,Seed Series A,"Automation Future of Work",San Francisco CA,$1M-$5M
Base Ventures,https://www.basevc.com,Pre-Seed Seed,"Diversity Technology",Oakland CA,$250K-$1M
Basis Set Ventures,https://www.basisset.com,Seed Series A,"AI Enterprise Automation",San Francisco CA,$500K-$3M
Battery Road Digital Holdings,https://www.batteryroad.com,Series A Series B,"Fintech Financial Services",New York NY,$5M-$25M
Bay McLaughlin,https://baymclaughlin.com,Seed,"Asia Technology",Hong Kong China,$500K-$3M
BDC Venture Capital,https://www.bdc.ca/venture-capital,Seed Series A,"Canada Technology",Montreal Canada,$500K-$5M
Beacon Capital Partners,https://www.beaconcapital.com,Growth,"Real Estate",Boston MA,
Beachhead Ventures,https://www.beachheadventures.com,Pre-Seed Seed,"Israel Technology",Tel Aviv Israel,$500K-$2M
Bedrock Capital,https://www.bedrockcap.com,Seed Series A,"Consumer Technology Media",San Francisco CA,$1M-$5M
Bee Partners,https://www.beepartners.vc,Seed,"Hardware Deep Tech",San Francisco CA,$500K-$2M
Bejo Ventures,https://www.bejo.vc,Pre-Seed Seed,"Nordic Technology",Copenhagen Denmark,$250K-$1M
Bellhaven Capital,https://www.bellhavencap.com,Seed Series A,"Consumer Lifestyle",New York NY,$500K-$2M
Bellus Health,https://www.bellushealth.com,Series A,"Healthcare Biotech",Montreal Canada,
Below the Radar,https://www.belowtheradar.vc,Pre-Seed Seed,"Underrepresented Founders",Austin TX,$100K-$500K
Bening Ventures,https://www.beningventures.com,Seed,"East Africa Technology",Nairobi Kenya,$250K-$1M
Berkeley SkyDeck Fund,https://www.skydeck.berkeley.edu,Pre-Seed Seed,"University Spinout",Berkeley CA,$100K-$500K
Big Pixel Ventures,https://www.bigpixelventures.com,Seed Series A,"Digital Media Gaming",Los Angeles CA,$500K-$2M
BigBeta Ventures,https://www.bigbeta.vc,Seed,"Enterprise Technology",Hamburg Germany,$250K-$1.5M
Biobased Ventures,https://www.biobasedventures.com,Seed Series A,"Biotech Materials Climate",New York NY,$1M-$5M
Birch Ventures,https://birchvc.com,Pre-Seed Seed,"Midwest Technology",Chicago IL,$250K-$1M
Blackbird Ventures,https://www.blackbird.vc,Seed Series A,"Australia New Zealand Technology",Melbourne Australia,$500K-$5M
Blaze Capital,https://blazecap.co,Pre-Seed Seed,"Technology B2B",London UK,$250K-$1M
Blended Capital,https://blendedcapital.com,Seed Series A,"Impact Emerging Markets",Washington DC,$500K-$3M
Bleu Ventures,https://bleuventures.com,Pre-Seed Seed,"Francophone Africa Technology",Abidjan Ivory Coast,$100K-$500K
Blisce,https://www.blisce.com,Series A Series B,"Consumer Technology",New York NY Paris France,$3M-$15M
Blue Collective,https://www.bluecollective.vc,Seed Series A,"Ocean Marine Environment",San Diego CA,$500K-$2M
Blue Future Partners,https://www.bluefuturepartners.com,Fund of Funds,"Emerging Managers",Stockholm Sweden,
Blue Horizon Ventures,https://www.bluehorizon.com,Series A,"Food Climate Alt Protein",Zurich Switzerland,$3M-$15M
Blue Lake Capital,https://www.bluelakecapital.com,Seed,"Education Technology",New York NY,$250K-$1M
Blue Yard Capital,https://www.blueyard.com,Seed Series A,"Decentralization Web3 AI",Berlin Germany,$500K-$3M
BlueCross BlueShield Venture Partners,https://bcbsventures.com,Series A,"Healthcare Digital Health",Chicago IL,$2M-$10M
Bluestein Ventures,https://www.bluesteinventures.com,Seed Series A,"Midwest Technology",Chicago IL,$500K-$2M
Boathouse Capital,https://www.boathousecapital.com,Series A Growth,"Business Services SaaS",Philadelphia PA,$5M-$25M
Bolster Ventures,https://www.bolster.com/ventures,Seed,"Future of Work Talent",New York NY,$500K-$2M
Boom Capital,https://www.boomcapital.vc,Pre-Seed Seed,"Diversity Black Founders",New York NY,$250K-$1M
Bootstrappers Ventures,https://www.bootstrappers.vc,Pre-Seed,"Bootstrapped Founder-led",Chicago IL,$50K-$250K
Boston Seed Capital,https://www.bostonseed.com,Seed Series A,"Enterprise Technology",Boston MA,$500K-$3M
Boudinot Capital,https://www.boudinot.vc,Pre-Seed Seed,"Healthcare Biotech",Cambridge MA,$250K-$1.5M
Brand Foundry Ventures,https://www.brandfoundry.co,Seed,"Consumer Brand Retail",New York NY,$500K-$2M
Bre Capital,https://www.brecapital.com,Seed Series A,"Real Estate PropTech",New York NY,$500K-$2M
Brewer Lane Ventures,https://www.brewerlane.com,Seed,"Fintech Financial Services",New York NY,$500K-$2M
BrightPath Ventures,https://brightpathvc.com,Seed Series A,"Southeast Technology",Atlanta GA,$500K-$3M
Brilliant Ventures,https://www.brilliantventures.com,Seed,"EdTech Learning",San Francisco CA,$250K-$1M
Broadhaven Capital Partners,https://www.broadhaven.com,Series A Growth,"Fintech Financial Services",New York NY,$5M-$25M
Broadscale Group,https://www.broadscale.com,Series A Series B,"Climate Energy Mobility",New York NY,$5M-$25M
Bullfrog AI,https://www.bullfrogai.com,Seed Series A,"AI Healthcare",Baltimore MD,$500K-$3M
Bullpen Capital,https://www.bullpencap.com,Seed Series A,"Marketplace B2B Consumer",San Francisco CA,$1M-$5M
C2 Ventures,https://www.c2ventures.com,Seed Series A,"Cybersecurity Defense",Washington DC,$1M-$5M
Calfee Venture Fund,https://www.calfeefund.com,Pre-Seed Seed,"Midwest SaaS",Cleveland OH,$250K-$1M
Calibrate Ventures,https://www.calibratevc.com,Seed Series A,"B2B SaaS Enterprise",Seattle WA,$500K-$3M
Calvert Impact Capital,https://www.calvertimpact.org,Series A,"Impact Social",Bethesda MD,$5M-$25M
Cameron Ventures,https://www.cameronventures.com,Seed Series A,"Consumer Lifestyle",New York NY,$500K-$2M
Cantos Ventures,https://www.cantos.com,Seed,"Deep Tech Hardware",San Francisco CA,$500K-$2M
Capital Factory,https://capitalfactory.com,Pre-Seed Seed,"Texas Technology",Austin TX,$100K-$500K
Capital Group Private Markets,https://www.capitalgroup.com,Growth Late,"Technology",Los Angeles CA,
Capitol Technology Partners,https://www.captech.com,Series A,"Government Technology",Washington DC,$2M-$10M
Cardinal Ventures,https://www.cardinalvc.com,Seed,"Stanford University Spinout",Palo Alto CA,$500K-$2M
Cartography Capital,https://www.cartographycap.com,Seed Series A,"Maps Location Technology",San Francisco CA,$500K-$2M
Catalyst Fund,https://www.thecatalystfund.com,Seed,"Emerging Markets Fintech Impact",Boston MA,$500K-$2M
Causeway Invest,https://www.causewayinvest.com,Seed Series A,"Social Impact Climate",London UK,$500K-$3M
Cedar Pine Partners,https://www.cedarpinepartners.com,Seed,"Pacific Northwest Technology",Portland OR,$250K-$1M
Centana Growth Partners,https://www.centanagp.com,Series A Series B Growth,"Fintech Financial Services",Menlo Park CA,$5M-$30M
Cereal Tech Ventures,https://www.cerealtech.com,Seed,"AgTech Food Technology",San Francisco CA,$500K-$2M
Champion Hill Ventures,https://www.championhillvc.com,Seed Series A,"Midwest Technology Healthcare",Columbus OH,$500K-$2M
Chaotic Moon Capital,https://chaoticmoon.com,Seed,"Gaming Entertainment",Austin TX,$250K-$1M
ChargePoint Ventures,https://www.chargepointventures.com,Seed Series A,"Clean Energy EV Infrastructure",Campbell CA,$1M-$5M
Chasing Rainbows Investments,https://www.chasingrainbows.io,Pre-Seed,"LGBTQ+ Founders",San Francisco CA,$50K-$250K
CheckFree Ventures,https://checkfreeventures.com,Seed Series A,"Fintech Payments",Atlanta GA,$500K-$2M
Chesley Brown Ventures,https://www.chesleybrown.com,Seed Series A,"Security Public Safety",Atlanta GA,$500K-$2M
CHI Ventures,https://www.chiventures.vc,Seed Series A,"Chicago Technology",Chicago IL,$250K-$2M
Chorus Ventures,https://chorusventures.com,Seed,"Music Audio Entertainment",Los Angeles CA,$250K-$1M
Chrome Enterprise Ventures,https://www.googlechrome.com/ventures,Series A,"Enterprise Productivity",Mountain View CA,
Circularity Capital,https://www.circularitycapital.com,Series A Series B,"Circular Economy Climate",Edinburgh UK,$2M-$10M
Citius Capital,https://www.citiuscapital.com,Seed Series A,"India Technology",Bangalore India,$500K-$2M
Citylight Capital,https://www.citylightcap.com,Series A Growth,"Future of Cities Infrastructure",New York NY,$5M-$25M
Civilization Ventures,https://www.civilizationventures.com,Seed,"Frontier Technology Deep Tech",San Francisco CA,$500K-$3M
Claridge Israel,https://www.claridgeisrael.com,Seed Series A,"Israel Technology",Tel Aviv Israel,$1M-$5M
ClimateCheck Capital,https://www.climatecheck.com,Seed,"Climate Real Estate",San Francisco CA,$500K-$2M
ClimaTech Capital,https://www.climatechcapital.com,Series A,"Climate Energy",Munich Germany,$3M-$15M
Clocktower Ventures,https://www.clocktowervc.com,Series A Series B,"Fintech Financial Services",Santa Monica CA,$3M-$15M
Club Deals Ventures,https://www.clubdeals.vc,Seed,"Secondaries Angel",London UK,$100K-$500K
Cobalt Venture Capital,https://www.cobaltvc.com,Seed Series A,"Africa Technology",Cape Town South Africa,$250K-$1.5M
Coefficient Capital,https://www.coefficientcapital.com,Seed Series A,"Consumer Technology Brands",New York NY,$1M-$5M
Cofounders Capital,https://www.cofounders.com,Seed,"Southeast US SaaS",Cary NC,$250K-$1M
Cogito Capital,https://www.cogitocap.com,Pre-Seed Seed,"AI Enterprise",Tel Aviv Israel,$500K-$2M
Cohesive Capital,https://www.cohesivecap.com,Series A Growth,"Healthcare Technology",New York NY,$5M-$25M
Coldwater Creek Ventures,https://coldwatercreekvc.com,Seed Series A,"Rocky Mountain Technology",Denver CO,$250K-$1.5M
Coliseum Capital,https://www.coliseumcap.com,Growth,"Sports Media Entertainment",Greenwich CT,
Collaborative Fund,https://www.collaborativefund.com,Seed Series A,"Consumer Culture",New York NY,$500K-$3M
Color Capital,https://colorcapital.co,Pre-Seed Seed,"Diversity Founders",New York NY,$100K-$500K
Columbia Lake Partners,https://www.columbia-lake.com,Series A Growth,"Venture Debt SaaS",London UK,$2M-$15M
Comeback Capital,https://comebackcap.com,Seed,"Midwest Underserved Communities",Detroit MI,$250K-$1M
Commerce Ventures,https://www.commerceventures.com,Seed Series A,"Fintech Commerce",San Francisco CA,$1M-$5M
Common Ocean,https://www.commonocean.com,Seed Series A,"Blue Economy Ocean",Oslo Norway,$500K-$3M
Commonwealth Fusion Systems,https://cfs.energy,Series A,"Nuclear Fusion Energy",Cambridge MA,
Compassionate Capital,https://www.compassionate.capital,Pre-Seed Seed,"Social Enterprise Impact",San Francisco CA,$100K-$500K
Concord Health Partners,https://concordhealthpartners.com,Series A,"Healthcare Services",Nashville TN,$3M-$15M
Connectivity Capital,https://connectivitycap.com,Seed Series A,"Telecom Connectivity",New York NY,$1M-$5M
Connetic Ventures,https://www.connecticventures.com,Seed,"Heartland Technology",Cincinnati OH,$250K-$1M
Conscience VC,https://www.conscience.vc,Pre-Seed Seed,"Social Impact",San Francisco CA,$100K-$500K
Continental Grain Ventures,https://www.continentalgrain.com,Series A,"Food Agriculture",New York NY,
Contrarian Thinking Capital,https://www.contrarianventures.com,Seed,"Alternative Investments",Austin TX,$500K-$2M
Convective Capital,https://www.convective.vc,Seed Series A,"Climate Technology",San Francisco CA,$1M-$5M
Convoy Ventures,https://www.convoyvc.com,Seed Series A,"Logistics Supply Chain",Seattle WA,$500K-$3M
Copley Equity Partners,https://www.copleyequity.com,Series A Growth,"SaaS Technology",Wellesley MA,$5M-$30M
Copper Street Capital,https://www.copperstreet.com,Seed Series A,"MENA Technology",Dubai UAE,$500K-$3M
Correlation Ventures,https://correlationvc.com,Seed Series A,"Technology Sector Agnostic",San Diego CA,$500K-$5M
Cortado Ventures,https://www.cortadoventures.com,Seed Series A,"Oklahoma Technology",Oklahoma City OK,$250K-$2M
Counterpart Ventures,https://www.counterpart.vc,Seed Series A,"Enterprise Technology",San Francisco CA,$1M-$5M
Courtside Ventures,https://www.courtsidevc.com,Seed Series A,"Sports Technology",New York NY,$500K-$3M
Cowboy Ventures,https://cowboy.vc,Seed Series A,"Consumer Technology",Palo Alto CA,$1M-$5M
Coyne Capital,https://www.coynecap.com,Series A Growth,"Financial Services Insurance",New York NY,
CRV (Charles River Ventures),https://www.crv.com,Seed Series A Series B,"Enterprise AI Consumer",Cambridge MA,$1M-$10M
Cultivation Capital,https://www.cultivationcapital.com,Seed Series A,"Midwest Technology Healthcare",St. Louis MO,$500K-$3M
Cyan Ventures,https://www.cyanventures.com,Pre-Seed Seed,"Climate Energy",London UK,$250K-$1.5M
Cypress Creek Renewables,https://www.ccrenew.com,Series A,"Renewable Energy",Chapel Hill NC,
D1 Capital Partners,https://www.d1capital.com,Growth Late,"Technology",New York NY,
Dace Ventures,https://www.dace.vc,Seed,"Nordic Technology",Oslo Norway,$250K-$1.5M
Daphni,https://www.daphni.com,Seed Series A,"European Technology",Paris France,$1M-$5M
Darwin Ventures,https://www.darwinventures.com,Seed Series A,"Life Sciences Biotech",Los Angeles CA,$500K-$3M
Data Collective (DCVC),https://www.dcvc.com,Seed Series A,"Deep Tech Science AI",Palo Alto CA,$1M-$10M
DataPoint Capital,https://datapointcapital.com,Seed Series A,"Enterprise Data Analytics",Boston MA,$500K-$3M
Dawnbreaker,https://www.dawnbreaker.com,Seed,"SBIR Government Research",Rochester NY,$100K-$500K
Decisive Point (DP) Ventures,https://www.dpventures.vc,Seed Series A,"Defense Security",Washington DC,$500K-$3M
Deep Insight Capital,https://www.deepinsight.vc,Seed,"B2B Enterprise SaaS",London UK,$500K-$2M
Deep Space Ventures,https://www.deepspace.vc,Seed Series A,"Space Technology",Los Angeles CA,$1M-$5M
Deepwater Asset Management,https://www.deepwatermgmt.com,Growth,"Technology",Minneapolis MN,
Delphi Digital,https://delphi.digital,Seed Series A,"Crypto Web3 DeFi",New York NY,$1M-$5M
Denali Venture Philanthropy,https://www.denaliventure.org,Pre-Seed,"Social Enterprise Alaska",Anchorage AK,$50K-$250K
Desert Bloom Ventures,https://www.desertbloomvc.com,Seed Series A,"Southwest Technology",Phoenix AZ,$250K-$1.5M
Desjardin Capital,https://www.desjardins.com/capital,Series A Growth,"Canada Quebec Technology",Montreal Canada,$3M-$15M
Dexter Capital,https://www.dextercap.com,Seed Series A,"India Technology SaaS",Bangalore India,$500K-$2M
DG Daiwa Ventures,https://www.dg.vc,Seed Series A,"Japan Technology",Tokyo Japan,$1M-$5M
Diaspora VC,https://www.diasporavc.com,Pre-Seed Seed,"African Diaspora Founders",London UK,$250K-$1M
Digital Future,https://digital.future,Seed Series A,"Eastern Europe Technology",Berlin Germany,$500K-$3M
Discovery Ventures,https://www.discoveryventures.com,Seed Series A,"Healthcare Medical Technology",Salt Lake City UT,$500K-$2M
Dorm Room Fund,https://dormroomfund.com,Pre-Seed,"Student Founders",Philadelphia PA,$20K-$100K
Draftboard Ventures,https://draftboard.vc,Pre-Seed Seed,"Sports Technology",New York NY,$100K-$500K
Dragoneer Investment Group,https://www.dragoneer.com,Series B Growth,"Technology Internet",San Francisco CA,
Dreamit Ventures,https://www.dreamit.com,Pre-Seed Seed,"UrbanTech HealthTech",New York NY,$50K-$250K
DriverlessCar.vc,https://driverlesscar.vc,Seed Series A,"Autonomous Vehicles Mobility",San Francisco CA,$500K-$3M
DTCP (Deutsche Telekom Capital Partners),https://www.dtcp.com,Series A Series B,"Enterprise Telecom Technology",Hamburg Germany,$5M-$25M
Duke Capital Partners,https://www.dukecapital.co.uk,Series A Growth,"UK Technology SaaS",London UK,$3M-$15M
Earth Foundries,https://www.earthfoundries.com,Seed,"Climate Materials Science",Denver CO,$500K-$2M
East Ventures,https://east.vc,Seed Series A,"Southeast Asia Technology",Singapore,$500K-$3M
Eastside Ventures,https://www.eastsideventures.com,Seed,"Midwest Technology",Cleveland OH,$250K-$1M
Ecofleet,https://ecofleet.vc,Seed,"Maritime Shipping Sustainability",Oslo Norway,$500K-$2M
Ecosystem Integrity Fund,https://www.eifund.org,Seed Series A,"Conservation Environmental",San Francisco CA,$500K-$3M
Edovate Capital,https://edovatecapital.com,Seed Series A,"EdTech Skills Training",New York NY,$500K-$2M
Effervescence,https://www.effervescence.vc,Pre-Seed Seed,"Sector Agnostic",San Francisco CA,$100K-$500K
Eight Roads Ventures,https://www.eightroads.com,Series A Series B,"Technology Healthcare",London UK Hong Kong China,$3M-$20M
Electric Era,https://www.electricera.vc,Seed Series A,"EV Charging Energy",Seattle WA,$500K-$3M
Elefund,https://www.ele.fund,Pre-Seed,"University Alumni Network",Cambridge MA,$100K-$500K
Elion Partners,https://www.elionpartners.com,Growth,"Data Centers Technology Infrastructure",New York NY,
Elizabeth Street Ventures,https://www.elizabethstvc.com,Pre-Seed Seed,"Consumer Technology",New York NY,$250K-$1M
Elsewhere Ventures,https://elsewhere.vc,Seed,"Small Cities Midwest",Madison WI,$250K-$1M
Emergent Ventures,https://www.emergentventures.com,Pre-Seed Seed,"Crypto Public Goods",Arlington VA,$100K-$500K
Emles Venture Partners,https://www.emlesvc.com,Seed Series A,"Financial Services Technology",New York NY,$500K-$3M
Emory Venture Capital,https://www.emory.edu/ventures,Pre-Seed Seed,"University Healthcare",Atlanta GA,$100K-$500K
Empathy Ventures,https://www.empathy.vc,Pre-Seed Seed,"Mental Health Wellness",New York NY,$100K-$500K
Empire Angels,https://www.empireangels.com,Pre-Seed Seed,"New York Technology",New York NY,$50K-$250K
Endeavor Catalyst,https://endeavor.org/catalyst,Seed Series A,"High Impact Entrepreneurship",New York NY,$500K-$2M
Energize Ventures,https://www.energize.vc,Seed Series A,"Energy Industry Digitization",Chicago IL,$1M-$5M
